timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-04-10 15:56:29,172.67.9.68,192.168.0.20,50998,TCP/UDP,N/A,Port Scan
2025-04-10 16:15:26,190.157.8.101,192.168.0.20,58115,TCP/UDP,N/A,Port Scan
2025-04-10 16:20:22,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 16:27:14,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 16:31:02,190.157.8.101,192.168.0.20,60550,TCP/UDP,N/A,Port Scan
2025-04-10 16:31:25,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 17:09:27,190.157.8.108,192.168.0.20,61544,TCP/UDP,N/A,Port Scan
2025-04-10 17:10:58,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 17:22:36,190.157.8.101,192.168.0.20,49912,TCP/UDP,N/A,Port Scan
2025-04-10 17:22:38,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 17:24:37,190.157.8.101,192.168.0.20,60376,TCP/UDP,N/A,Port Scan
2025-04-10 17:25:02,190.157.8.108,192.168.0.20,58526,TCP/UDP,N/A,Port Scan
2025-04-10 17:26:26,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 17:28:11,190.157.8.108,192.168.0.20,64963,TCP/UDP,N/A,Port Scan
2025-04-10 18:22:04,190.157.8.108,192.168.0.20,58104,TCP/UDP,N/A,Port Scan
2025-04-10 18:25:38,190.157.8.108,192.168.0.20,62778,TCP/UDP,N/A,Port Scan
2025-04-10 18:25:45,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 19:11:29,190.157.8.108,192.168.0.20,63570,TCP/UDP,N/A,Port Scan
2025-04-10 19:11:34,190.157.8.101,192.168.0.20,55730,TCP/UDP,N/A,Port Scan
2025-04-10 19:11:39,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido
2025-04-10 19:11:58,190.157.8.108,192.168.0.20,51400,TCP/UDP,N/A,Port Scan
2025-04-10 21:27:54,104.22.0.235,192.168.0.20,60813,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-10 22:00:31,190.157.8.108,192.168.0.20,54318,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-10 22:00:32,190.157.8.108,192.168.0.20,54318,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-10 22:01:25,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido (Clasificación_ML)
2025-04-10 22:01:25,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido (Clasificación_ML)
2025-04-10 22:15:52,190.157.8.108,192.168.0.20,63789,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-10 22:16:31,190.157.8.108,192.168.0.20,63194,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-10 22:16:41,192.168.0.20,Múltiples,0,TCP/UDP,N/A,DDoS Distribuido (Clasificación_ML)
2025-04-10 22:17:00,190.157.8.108,192.168.0.20,53406,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-13 16:11:26,190.157.8.108,192.168.0.13,57407,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-13 17:50:18,190.157.8.108,192.168.0.13,63909,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-13 20:34:35,190.157.8.108,192.168.0.13,8519,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-13 22:17:00,190.157.8.108,192.168.0.13,52285,TCP/UDP,N/A,Port Scan (Clasificación_ML)
